uid,response_no,unix_time,response
user1,2,1611024256790,"{""phase"": ""TEST"", ""expr"": ""E074_FGSM"", ""c1_confidence"": 3, ""c2_confidence"": 2, ""rt"": 9172}"
user1,3,1611024263810,"{""phase"": ""TEST"", ""expr"": ""E044_SINVAD"", ""c1_confidence"": 3, ""c2_confidence"": 0, ""rt"": 7011}"
user1,4,1611024293674,"{""phase"": ""TEST"", ""expr"": ""E027_CW"", ""c1_confidence"": 1, ""c2_confidence"": 3, ""rt"": 29858}"
user1,5,1611024302576,"{""phase"": ""TEST"", ""expr"": ""E085_SINVAD"", ""c1_confidence"": 2, ""c2_confidence"": 3, ""rt"": 8900}"
user1,6,1611024311001,"{""phase"": ""TEST"", ""expr"": ""E030_SINVAD"", ""c1_confidence"": 3, ""c2_confidence"": 2, ""rt"": 8423}"
user1,7,1611024316042,"{""phase"": ""TEST"", ""expr"": ""E099_FGSM"", ""c1_confidence"": 0, ""c2_confidence"": 4, ""rt"": 5036}"
user1,8,1611024324550,"{""phase"": ""TEST"", ""expr"": ""E038_FGSM"", ""c1_confidence"": 3, ""c2_confidence"": 0, ""rt"": 8503}"
user1,9,1611024337724,"{""phase"": ""TEST"", ""expr"": ""E024_SINVAD"", ""c1_confidence"": 3, ""c2_confidence"": 2, ""rt"": 13170}"
user1,10,1611024351250,"{""phase"": ""TEST"", ""expr"": ""E048_FGSM"", ""c1_confidence"": 3, ""c2_confidence"": 3, ""rt"": 13525}"
user1,11,1611024361564,"{""phase"": ""TEST"", ""expr"": ""E014_SINVAD"", ""c1_confidence"": 0, ""c2_confidence"": 1, ""rt"": 10313}"
user1,12,1611024367626,"{""phase"": ""TEST"", ""expr"": ""E045_CW"", ""c1_confidence"": 2, ""c2_confidence"": 3, ""rt"": 6058}"
user1,13,1611024375261,"{""phase"": ""TEST"", ""expr"": ""E008_FGSM"", ""c1_confidence"": 3, ""c2_confidence"": 1, ""rt"": 7629}"
user1,14,1611024385731,"{""phase"": ""TEST"", ""expr"": ""E019_real"", ""c1_confidence"": 0, ""c2_confidence"": 4, ""rt"": 10466}"
user1,15,1611024393877,"{""phase"": ""TEST"", ""expr"": ""E007_CW"", ""c1_confidence"": 1, ""c2_confidence"": 4, ""rt"": 8143}"
user1,16,1611024404237,"{""phase"": ""TEST"", ""expr"": ""E084_CW"", ""c1_confidence"": 4, ""c2_confidence"": 1, ""rt"": 10357}"
user1,17,1611024410114,"{""phase"": ""TEST"", ""expr"": ""E028_CW"", ""c1_confidence"": 3, ""c2_confidence"": 1, ""rt"": 5876}"
user1,18,1611024419010,"{""phase"": ""TEST"", ""expr"": ""E011_SINVAD"", ""c1_confidence"": 2, ""c2_confidence"": 1, ""rt"": 8892}"
user1,19,1611024425300,"{""phase"": ""TEST"", ""expr"": ""E003_CW"", ""c1_confidence"": 4, ""c2_confidence"": 0, ""rt"": 6286}"
user1,20,1611024437766,"{""phase"": ""TEST"", ""expr"": ""E094_CW"", ""c1_confidence"": 1, ""c2_confidence"": 4, ""rt"": 12463}"
user1,21,1611024445204,"{""phase"": ""TEST"", ""expr"": ""E020_FGSM"", ""c1_confidence"": 1, ""c2_confidence"": 3, ""rt"": 7435}"
user1,22,1611024457530,"{""phase"": ""TEST"", ""expr"": ""E063_FGSM"", ""c1_confidence"": 0, ""c2_confidence"": 2, ""rt"": 12322}"
user1,23,1611024473431,"{""phase"": ""TEST"", ""expr"": ""E073_CW"", ""c1_confidence"": 2, ""c2_confidence"": 3, ""rt"": 15898}"
user1,24,1611024479248,"{""phase"": ""TEST"", ""expr"": ""E083_SINVAD"", ""c1_confidence"": 3, ""c2_confidence"": 3, ""rt"": 5813}"
user1,25,1611024507155,"{""phase"": ""TEST"", ""expr"": ""E032_SINVAD"", ""c1_confidence"": 2, ""c2_confidence"": 3, ""rt"": 27906}"
user1,26,1611024527112,"{""phase"": ""TEST"", ""expr"": ""E053_FGSM"", ""c1_confidence"": 1, ""c2_confidence"": 3, ""rt"": 19954}"
user1,27,1611024532143,"{""phase"": ""TEST"", ""expr"": ""E078_SINVAD"", ""c1_confidence"": 1, ""c2_confidence"": 2, ""rt"": 5027}"
user1,28,1611024542082,"{""phase"": ""TEST"", ""expr"": ""E087_real"", ""c1_confidence"": 1, ""c2_confidence"": 3, ""rt"": 9936}"
user1,29,1611024547530,"{""phase"": ""TEST"", ""expr"": ""E089_real"", ""c1_confidence"": 4, ""c2_confidence"": 0, ""rt"": 5444}"
user1,30,1611024554170,"{""phase"": ""TEST"", ""expr"": ""E055_CW"", ""c1_confidence"": 3, ""c2_confidence"": 0, ""rt"": 6636}"
user1,31,1611024565024,"{""phase"": ""TEST"", ""expr"": ""E056_CW"", ""c1_confidence"": 3, ""c2_confidence"": 1, ""rt"": 10851}"
user1,32,1611024569762,"{""phase"": ""TEST"", ""expr"": ""E071_FGSM"", ""c1_confidence"": 0, ""c2_confidence"": 4, ""rt"": 4735}"
user1,33,1611024585623,"{""phase"": ""TEST"", ""expr"": ""E072_SINVAD"", ""c1_confidence"": 3, ""c2_confidence"": 1, ""rt"": 15858}"
user1,34,1611024592851,"{""phase"": ""TEST"", ""expr"": ""E059_FGSM"", ""c1_confidence"": 3, ""c2_confidence"": 2, ""rt"": 7224}"
user2,2,1611026353465,"{""phase"": ""TEST"", ""expr"": ""E046_SINVAD"", ""c1_confidence"": 3, ""c2_confidence"": 4, ""rt"": 22732}"
