uid,response_no,unix_time,response
user1,2,1610506337784,"{""phase"": ""TEST"", ""expr"": ""E098_FGSM"", ""c1_confidence"": 0, ""c2_confidence"": 3, ""rt"": 4359}"
user1,3,1610506342057,"{""phase"": ""TEST"", ""expr"": ""E068_CW"", ""c1_confidence"": 3, ""c2_confidence"": 2, ""rt"": 4269}"
user1,4,1610506350330,"{""phase"": ""TEST"", ""expr"": ""E041_SINVAD"", ""c1_confidence"": 4, ""c2_confidence"": 2, ""rt"": 8271}"
user1,5,1610506354256,"{""phase"": ""TEST"", ""expr"": ""E099_SINVAD"", ""c1_confidence"": 4, ""c2_confidence"": 2, ""rt"": 3920}"
user1,6,1610506364341,"{""phase"": ""TEST"", ""expr"": ""E037_SINVAD"", ""c1_confidence"": 3, ""c2_confidence"": 2, ""rt"": 10075}"
user1,7,1610506367738,"{""phase"": ""TEST"", ""expr"": ""E096_FGSM"", ""c1_confidence"": 4, ""c2_confidence"": 0, ""rt"": 3393}"
user1,8,1610506376408,"{""phase"": ""TEST"", ""expr"": ""E021_CW"", ""c1_confidence"": 0, ""c2_confidence"": 3, ""rt"": 8664}"
user1,9,1610506387970,"{""phase"": ""TEST"", ""expr"": ""E054_FGSM"", ""c1_confidence"": 3, ""c2_confidence"": 1, ""rt"": 11558}"
user1,10,1610506394785,"{""phase"": ""TEST"", ""expr"": ""E016_CW"", ""c1_confidence"": 3, ""c2_confidence"": 0, ""rt"": 6811}"
user1,11,1610506401439,"{""phase"": ""TEST"", ""expr"": ""E004_CW"", ""c1_confidence"": 1, ""c2_confidence"": 4, ""rt"": 6650}"
user1,12,1610506415343,"{""phase"": ""TEST"", ""expr"": ""E091_CW"", ""c1_confidence"": 0, ""c2_confidence"": 0, ""rt"": 13899}"
user1,13,1610506421933,"{""phase"": ""TEST"", ""expr"": ""E078_real"", ""c1_confidence"": 0, ""c2_confidence"": 4, ""rt"": 6585}"
user1,14,1610506441362,"{""phase"": ""TEST"", ""expr"": ""E014_FGSM"", ""c1_confidence"": 1, ""c2_confidence"": 4, ""rt"": 19426}"
user1,15,1610506456066,"{""phase"": ""TEST"", ""expr"": ""E026_FGSM"", ""c1_confidence"": 3, ""c2_confidence"": 1, ""rt"": 14700}"
user1,16,1610506462830,"{""phase"": ""TEST"", ""expr"": ""E027_CW"", ""c1_confidence"": 4, ""c2_confidence"": 0, ""rt"": 6761}"
user1,17,1610506466810,"{""phase"": ""TEST"", ""expr"": ""E033_CW"", ""c1_confidence"": 0, ""c2_confidence"": 4, ""rt"": 3977}"
user1,18,1610506481601,"{""phase"": ""TEST"", ""expr"": ""E048_FGSM"", ""c1_confidence"": 1, ""c2_confidence"": 3, ""rt"": 14788}"
user1,19,1610506487543,"{""phase"": ""TEST"", ""expr"": ""E001_SINVAD"", ""c1_confidence"": 3, ""c2_confidence"": 3, ""rt"": 5939}"
user1,20,1610506491623,"{""phase"": ""TEST"", ""expr"": ""E073_FGSM"", ""c1_confidence"": 0, ""c2_confidence"": 4, ""rt"": 4075}"
user1,21,1610506502519,"{""phase"": ""TEST"", ""expr"": ""E017_CW"", ""c1_confidence"": 3, ""c2_confidence"": 1, ""rt"": 10891}"
user1,22,1610506509822,"{""phase"": ""TEST"", ""expr"": ""E060_SINVAD"", ""c1_confidence"": 3, ""c2_confidence"": 2, ""rt"": 7299}"
user1,23,1610506525077,"{""phase"": ""TEST"", ""expr"": ""E040_FGSM"", ""c1_confidence"": 0, ""c2_confidence"": 3, ""rt"": 15252}"
user1,24,1610506529019,"{""phase"": ""TEST"", ""expr"": ""E097_CW"", ""c1_confidence"": 0, ""c2_confidence"": 4, ""rt"": 3939}"
user1,25,1610506538517,"{""phase"": ""TEST"", ""expr"": ""E075_CW"", ""c1_confidence"": 1, ""c2_confidence"": 4, ""rt"": 9495}"
user1,26,1610506546167,"{""phase"": ""TEST"", ""expr"": ""E020_SINVAD"", ""c1_confidence"": 1, ""c2_confidence"": 2, ""rt"": 7646}"
user1,27,1610506549654,"{""phase"": ""TEST"", ""expr"": ""E025_SINVAD"", ""c1_confidence"": 3, ""c2_confidence"": 2, ""rt"": 3484}"
user1,28,1610506559933,"{""phase"": ""TEST"", ""expr"": ""E009_SINVAD"", ""c1_confidence"": 3, ""c2_confidence"": 1, ""rt"": 10276}"
user1,29,1610506564240,"{""phase"": ""TEST"", ""expr"": ""E024_FGSM"", ""c1_confidence"": 1, ""c2_confidence"": 3, ""rt"": 4306}"
user1,30,1610506572471,"{""phase"": ""TEST"", ""expr"": ""E031_SINVAD"", ""c1_confidence"": 0, ""c2_confidence"": 3, ""rt"": 8227}"
user1,31,1610506582333,"{""phase"": ""TEST"", ""expr"": ""E032_SINVAD"", ""c1_confidence"": 0, ""c2_confidence"": 4, ""rt"": 9858}"
